public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.239.100.174,scalability,42,0c32c8f4bc408d5c3c18fb45bdc83c83ea0c8d8a38d7d05e990a1c994faedc84,100000,BlkGenerator,717,0,139304.09247562874
47.239.100.174,scalability,42,0c32c8f4bc408d5c3c18fb45bdc83c83ea0c8d8a38d7d05e990a1c994faedc84,100000,BlkAdder,0,0,0
47.239.100.174,scalability,43,77b85fc567a4a9db09545042c9302080586c5657d76799d3f42df58dcb21ade0,100000,BlkGenerator,706,0,141566.0603864187
47.239.100.174,scalability,43,77b85fc567a4a9db09545042c9302080586c5657d76799d3f42df58dcb21ade0,100000,BlkAdder,0,0,0
47.239.100.174,scalability,44,ee6914ca7ef5701bd6b7fa337da35cd8f383842b9427ba4a6075d82464055c06,100000,BlkGenerator,731,0,136699.7935833117
47.239.100.174,scalability,44,ee6914ca7ef5701bd6b7fa337da35cd8f383842b9427ba4a6075d82464055c06,100000,BlkAdder,0,0,0
47.239.100.174,scalability,45,ba27f6027efea57f0c41aedafc3606131e723b1d6f0195922d86e5b4b80bd0b6,100000,BlkGenerator,710,0,140722.78034440495
47.239.100.174,scalability,45,ba27f6027efea57f0c41aedafc3606131e723b1d6f0195922d86e5b4b80bd0b6,100000,BlkAdder,0,0,0
47.239.100.174,scalability,46,69938aeaa7a19db166081556b57ef846c2001d7c10ee5fd311246addbba567c3,100000,BlkGenerator,718,0,139133.72559768372
47.239.100.174,scalability,46,69938aeaa7a19db166081556b57ef846c2001d7c10ee5fd311246addbba567c3,100000,BlkAdder,0,0,0
47.239.100.174,scalability,47,c0dffe62eb596e11e30fdc1c81a9c1e06ce04c399ce373be3732794d4bc27d71,100000,BlkGenerator,709,0,141037.35797538052
47.239.100.174,scalability,47,c0dffe62eb596e11e30fdc1c81a9c1e06ce04c399ce373be3732794d4bc27d71,100000,BlkAdder,0,0,0
47.239.100.174,scalability,48,20823ab0a5c314243bf5f824e432ebfb8714606749259d78c32c869b2c7374e9,100000,BlkGenerator,725,0,137749.58502937507
47.239.100.174,scalability,48,20823ab0a5c314243bf5f824e432ebfb8714606749259d78c32c869b2c7374e9,100000,BlkAdder,0,0,0
47.239.100.174,scalability,49,815da3faa2dbf173f6c8ef32d081f78f6ccdb0cd5c939294034bea8b3a10b4bb,100000,BlkGenerator,744,0,134302.64025560478
47.239.100.174,scalability,49,815da3faa2dbf173f6c8ef32d081f78f6ccdb0cd5c939294034bea8b3a10b4bb,100000,BlkAdder,0,0,0
47.239.100.174,scalability,50,7bb5d64281d9edd2ed1841351930306ec09c43e8ef4658624c1f6600f3af0bf5,100000,BlkGenerator,725,0,137927.4198331354
47.239.100.174,scalability,50,7bb5d64281d9edd2ed1841351930306ec09c43e8ef4658624c1f6600f3af0bf5,100000,BlkAdder,0,0,0
47.239.100.174,scalability,51,5c259b920ab436dede305bf93ad4da868a7a90aa83da27ccb9a00898ab13488c,100000,BlkGenerator,704,0,141961.16510367423
47.239.100.174,scalability,51,5c259b920ab436dede305bf93ad4da868a7a90aa83da27ccb9a00898ab13488c,100000,BlkAdder,0,0,0
47.239.100.174,scalability,52,8d361209ace445d853b456a25abcc4deb5e5103f5cc8198981e11c1797ea05d3,100000,BlkGenerator,721,0,138663.56060290916
47.239.100.174,scalability,52,8d361209ace445d853b456a25abcc4deb5e5103f5cc8198981e11c1797ea05d3,100000,BlkAdder,0,0,0
47.239.100.174,scalability,53,ef9471d0fccd1907f1653b11dd0a297834981b1452f82fd71c27efe8a2da3ce2,100000,BlkGenerator,714,0,139906.5144670331
47.239.100.174,scalability,53,ef9471d0fccd1907f1653b11dd0a297834981b1452f82fd71c27efe8a2da3ce2,100000,BlkAdder,0,0,0
47.239.100.174,scalability,54,404cd4fb4a53dd4fb19911e39e5841dca9d2fa26b686f7f16303db376d957fb8,100000,BlkGenerator,722,0,138338.41727016802
47.239.100.174,scalability,54,404cd4fb4a53dd4fb19911e39e5841dca9d2fa26b686f7f16303db376d957fb8,100000,BlkAdder,0,0,0
47.239.100.174,scalability,55,25acda3e5bcf61b640b7c8b36cdf2b518d0054c2ce23fd331605bebc1b414b78,100000,BlkGenerator,719,0,138980.96377739141
47.239.100.174,scalability,55,25acda3e5bcf61b640b7c8b36cdf2b518d0054c2ce23fd331605bebc1b414b78,100000,BlkAdder,0,0,0
47.239.100.174,scalability,56,e066a34b39f27388a3de2a14bba3a61b90fdd9221c8d1613b990a106814f0a04,100000,BlkGenerator,715,0,139711.6351849782
47.239.100.174,scalability,56,e066a34b39f27388a3de2a14bba3a61b90fdd9221c8d1613b990a106814f0a04,100000,BlkAdder,0,0,0
47.239.100.174,scalability,57,63d9897b70301a7c02e8db0d865ea09de5637fe40a633097b3351706ff9cedad,100000,BlkGenerator,709,0,141033.9764952775
